domain,hits,repeat,singleton,repeat_ratio,unique_branches
0000010c43fc5a,6,6,0,1.0,2
0000010c43fcc2,6,6,0,1.0,2
0000010c43fcc5,6,6,0,1.0,2
0000010c43fce7,6,6,0,1.0,2
0000010c43fce8,6,6,0,1.0,2
0000010c43fce9,6,6,0,1.0,2
0000010c43fcee,6,6,0,1.0,2
0000010c43fcf4,6,6,0,1.0,2
0000010c43fc51,6,5,1,0.8333333333333334,3
0000010c43fc5b,6,5,1,0.8333333333333334,3
0000010c43fcb6,6,5,1,0.8333333333333334,3
0000010c43fcc3,6,5,1,0.8333333333333334,3
0000010c43fc58,6,4,2,0.6666666666666666,4
0000010c43fc72,6,4,2,0.6666666666666666,4
0000010c43fc93,6,4,2,0.6666666666666666,4
0000010c43fc6b,6,3,3,0.5,4
0000010c43fc50,5,3,2,0.6,3
0000010c43fcb0,5,3,2,0.6,3
0000010c43fcdd,5,3,2,0.6,3
0000010c43fc0d,5,2,3,0.4,4
0000010c43fc57,5,2,3,0.4,4
0000010c43fcdf,4,4,0,1.0,1
0000010c43fc95,4,4,0,1.0,2
0000010c43fc43,4,3,1,0.75,2
0000010c43fc62,4,3,1,0.75,2
0000010c43fc6a,4,3,1,0.75,2
0000010c43fc8d,4,3,1,0.75,2
0000010c43fc9e,4,3,1,0.75,2
0000010c43fcab,4,3,1,0.75,2
0000010c43fcbf,4,3,1,0.75,2
0000010c43fcc0,4,3,1,0.75,2
0000010c43fcca,4,3,1,0.75,2
0000010c43fcf3,4,3,1,0.75,2
0000010c43fc4f,4,2,2,0.5,3
0000010c43fcf7,4,2,2,0.5,3
0000010c43fc19,3,3,0,1.0,1
0000010c43fc21,3,3,0,1.0,1
0000010c43fc2a,3,3,0,1.0,1
0000010c43fc3b,3,3,0,1.0,1
0000010c43fc41,3,3,0,1.0,1
0000010c43fc56,3,3,0,1.0,1
0000010c43fc78,3,3,0,1.0,1
0000010c43fc7a,3,3,0,1.0,1
0000010c43fc8f,3,3,0,1.0,1
0000010c43fca2,3,3,0,1.0,1
0000010c43fca8,3,3,0,1.0,1
0000010c43fcb9,3,3,0,1.0,1
0000010c43fcbd,3,3,0,1.0,1
0000010c43fcc9,3,3,0,1.0,1
0000010c43fccd,3,3,0,1.0,1
0000010c43fcdc,3,3,0,1.0,1
0000010c43fceb,3,3,0,1.0,1
0000010c43fc4e,3,2,1,0.6666666666666666,2
0000010c43fc5e,3,2,1,0.6666666666666666,2
0000010c43fc5f,3,2,1,0.6666666666666666,2
0000010c43fc64,3,2,1,0.6666666666666666,2
0000010c43fc94,3,2,1,0.6666666666666666,2
0000010c43fcb3,3,2,1,0.6666666666666666,2
0000010c43fcb7,3,2,1,0.6666666666666666,2
0000010c43fcc6,3,2,1,0.6666666666666666,2
0000010c43fcd1,3,2,1,0.6666666666666666,2
0000010c43fcd6,3,2,1,0.6666666666666666,2
0000010c43fcdb,3,2,1,0.6666666666666666,2
0000010c43fcde,3,2,1,0.6666666666666666,2
0000010c43fcfc,3,2,1,0.6666666666666666,2
0000010c43fc05,2,2,0,1.0,1
0000010c43fc76,2,0,2,0.0,2
0000010c43fc59,1,0,1,0.0,1
0000010c43fc5d,1,0,1,0.0,1
0000010c43fc60,1,0,1,0.0,1
0000010c43fc97,1,0,1,0.0,1
0000010c43fcaa,1,0,1,0.0,1
0000010c43fcbc,1,0,1,0.0,1
0000010c43fce3,1,0,1,0.0,1
0000010c43fcff,1,0,1,0.0,1
